PTJTA(000003.SZ)
LQGF(000007.SZ)
*STDHA(000013.SZ)
PTZHA(000015.SZ)
SSBA(000019.SZ)
SHFA(000020.SZ)
STDA(000023.SZ)
FYDA(000026.SZ)
SSDA(000032.SZ)
*STXD(000033.SZ)
STZQ(000047.SZ)
SGS(000056.SZ)
TFXX(000070.SZ)
YHDC(000150.SZ)
FYYY(000153.SZ)
CSGF(000158.SZ)
STXG(000405.SZ)
DMTS(000406.SZ)
STWH(000412.SZ)
BHZL(000415.SZ)
SDLQ(000498.SZ)
HHKG(000503.SZ)
*STCM(000504.SZ)
QMY(000508.SZ)
PYTY(000515.SZ)
RADC(000517.SZ)
*STFH(000520.SZ)
BYSA(000522.SZ)
AZLJ(000523.SZ)
MDDQ(000527.SZ)
MZGF(000534.SZ)
*STHW(000535.SZ)
HYKJ(000536.SZ)
TCLTX(000542.SZ)
ZYHB(000544.SZ)
MFFA(000547.SZ)
SXHJ(000549.SZ)
PTNX(000556.SZ)
*STAX(000557.SZ)
KBDA(000560.SZ)
XAMS(000564.SZ)
CCGF(000569.SZ)
YHJT(000578.SZ)
S*STTP(000583.SZ)
HYTX(000586.SZ)
PTYJM(000588.SZ)
PTFZ(000592.SZ)
*STGH(000594.SZ)
QDSX(000599.SZ)
JMTS(000602.SZ)
BHGF(000605.SZ)
XALY(000610.SZ)
HBJH(000615.SZ)
JHTS(000618.SZ)
*STBT(000621.SZ)
TMJT(000627.SZ)
GJTZ(000633.SZ)
MHSH(000637.SZ)
STJZ(000653.SZ)
JLKY(000655.SZ)
STHX(000658.SZ)
*STNH(000660.SZ)
SFT(000662.SZ)
YALY(000663.SZ)
YFW(000670.SZ)
STYS(000675.SZ)
HTTE(000687.SZ)
STHY(000689.SZ)
SYHG(000698.SZ)
S*STJZ(000699.SZ)
TXYB(000710.SZ)
FLCY(000713.SZ)
ZXSY(000715.SZ)
*STHB(000730.SZ)
JHTS(000763.SZ)
*STHX(000765.SZ)
*STDF(000769.SZ)
*STCZ(000787.SZ)
TYGY(000795.SZ)
ZSYY(000798.SZ)
*STYH(000805.SZ)
YLGF(000807.SZ)
YTBL(000811.SZ)
LYTS(000817.SZ)
*STCX(000827.SZ)
WKXT(000831.SZ)
*STLD(000832.SZ)
SCSD(000835.SZ)
QCFZ(000837.SZ)
SXGF(000863.SZ)
YZTS(000866.SZ)
XMLG(000892.SZ)
XDTZ(000900.SZ)
WCZT(000906.SZ)
LTH(000912.SZ)
KDDL(000939.SZ)
NTXX(000948.SZ)
XXHQ(000949.SZ)
AJYY(000952.SZ)
ZYTS(000956.SZ)
FSKJ(000973.SZ)
CHGF(000976.SZ)
AZYY(000987.SZ)
JZT(000989.SZ)
YNKG(001896.SZ)
DZJG(002008.SZ)
TJGF(002009.SZ)
ZHJD(002013.SZ)
*STXK(002015.SZ)
ZJGF(002021.SZ)
JLGF(002031.SZ)
SBE(002032.SZ)
SLYY(002038.SZ)
JSSY(002044.SZ)
SHGF(002050.SZ)
WET(002058.SZ)
DHRJ(002065.SZ)
ZZD(002069.SZ)
ZHGF(002070.SZ)
FRGF(002083.SZ)
DFHX(002086.SZ)
NLMB(002096.SZ)
TKSW(002100.SZ)
ABGF(002103.SZ)
YLGF(002126.SZ)
DHKJ(002140.SZ)
XBCL(002149.SZ)
*STCL(002160.SZ)
*STDL(002164.SZ)
BTGF(002170.SZ)
ALSC(002175.SZ)
YHZN(002178.SZ)
JYZY(002198.SZ)
DJDZ(002199.SZ)
ZYGF(002207.SZ)
FMGJ(002210.SZ)
SQSP(002216.SZ)
JFD(002239.SZ)
SHLS(002252.SZ)
EHYY(002262.SZ)
DDN(002263.SZ)
FYSK(002270.SZ)
SJGD(002273.SZ)
HCHG(002274.SZ)
HHKJ(002296.SZ)
XLDQ(002298.SZ)
JXJT(002301.SZ)
MYS(002303.SZ)
ZKYW(002306.SZ)
ZLDQ(002323.SZ)
