PAYH(000001.SZ)
MKA(000002.SZ)
GNKJ(000004.SZ)
SJXY(000005.SZ)
SZYA(000006.SZ)
BLL(000008.SZ)
ZGBA(000009.SZ)
SHX(000010.SZ)
SWYA(000011.SZ)
NBA(000012.SZ)
SHGF(000014.SZ)
SKJA(000016.SZ)
SZHA(000017.SZ)
ZGA(000018.SZ)
CCKF(000021.SZ)
SCWA(000022.SZ)
QSDC(000024.SZ)
TLA(000025.SZ)
SZNY(000027.SZ)
GYYZ(000028.SZ)
SSFA(000029.SZ)
FAGF(000030.SZ)
ZLDC(000031.SZ)
SXTF(000034.SZ)
ZGTY(000035.SZ)
HLKG(000036.SZ)
SNDA(000037.SZ)
SDT(000038.SZ)
ZJJT(000039.SZ)
BADC(000040.SZ)
ZZKG(000042.SZ)
ZHDC(000043.SZ)
SFZA(000045.SZ)
FHKG(000046.SZ)
KDE(000048.SZ)
DSDC(000049.SZ)
STMA(000050.SZ)
FDJT(000055.SZ)
SSG(000058.SZ)
HJGF(000059.SZ)
ZJLN(000060.SZ)
NCP(000061.SZ)
SZHJ(000062.SZ)
ZXTX(000063.SZ)
BFGJ(000065.SZ)
CCDN(000066.SZ)
HKSG(000068.SZ)
HQCA(000069.SZ)
HWSW(000078.SZ)
YTG(000088.SZ)
SZJC(000089.SZ)
TJJT(000090.SZ)
AJNY(000096.SZ)
ZXHZ(000099.SZ)
TCLJT(000100.SZ)
ZCGF(000151.SZ)
CHGF(000155.SZ)
HSCM(000156.SZ)
ZLCK(000157.SZ)
GJSY(000159.SZ)
DFSC(000301.SZ)
MDJT(000333.SZ)
WCDL(000338.SZ)
HJDQ(000400.SZ)
JDSN(000401.SZ)
JRJ(000402.SZ)
*STSH(000403.SZ)
HYYS(000404.SZ)
SLGF(000407.SZ)
JGY(000408.SZ)
SDDK(000409.SZ)
SYJC(000410.SZ)
YTJT(000411.SZ)
DXGD(000413.SZ)
MSKG(000416.SZ)
GFBH(000417.SZ)
XTEA(000418.SZ)
TCKG(000419.SZ)
JLHQ(000420.SZ)
NJZB(000421.SZ)
HBYH(000422.SZ)
DAAJ(000423.SZ)
XGJX(000425.SZ)
XYKY(000426.SZ)
HTJD(000428.SZ)
YGSA(000429.SZ)
ZGJ(000430.SZ)
CMZY(000488.SZ)
EWSA(000501.SZ)
LJKG(000502.SZ)
ZJKG(000505.SZ)
ZRZY(000506.SZ)
ZHG(000507.SZ)
HSKG(000509.SZ)
JLJT(000510.SZ)
XTXC(000511.SZ)
LZJT(000513.SZ)
YKF(000514.SZ)
KYTZ(000516.SZ)
SHSW(000518.SZ)
JNGJ(000519.SZ)
MLDQ(000521.SZ)
DFBG(000524.SZ)
GTY(000525.SZ)
YRTZ(000526.SZ)
LG(000528.SZ)
AHKG(000529.SZ)
DLGF(000530.SZ)
SHYA(000531.SZ)
LGGF(000532.SZ)
MGL(000533.SZ)
AYFZ(000537.SZ)
YNBY(000538.SZ)
YDLA(000539.SZ)
ZTCT(000540.SZ)
FSZM(000541.SZ)
WNDL(000543.SZ)
JPTY(000545.SZ)
GHKG(000546.SZ)
HNTZ(000548.SZ)
JLQC(000550.SZ)
CYKJ(000551.SZ)
JYMD(000552.SZ)
SLDA(000553.SZ)
TSDY(000554.SZ)
SZXX(000555.SZ)
LYZY(000558.SZ)
MXQC(000559.SZ)
FHDZ(000561.SZ)
HYZQ(000562.SZ)
SGTA(000563.SZ)
YSXA(000565.SZ)
HNHY(000566.SZ)
HDGF(000567.SZ)
LZLJ(000568.SZ)
SCCA(000570.SZ)
XDZA(000571.SZ)
HMQC(000572.SZ)
YHYA(000573.SZ)
ADGH(000576.SZ)
WFGK(000581.SZ)
BBWG(000582.SZ)
YLKG(000584.SZ)
DBDQ(000585.SZ)
JXZB(000587.SZ)
QLTA(000589.SZ)
ZGGH(000590.SZ)
TJG(000591.SZ)
DTRQ(000593.SZ)
XBZC(000595.SZ)
GJGJ(000596.SZ)
DBZY(000597.SZ)
XRTZ(000598.SZ)
JTNY(000600.SZ)
SNGF(000601.SZ)
CDKY(000603.SZ)
QHMJ(000606.SZ)
HZKG(000607.SZ)
YGGF(000608.SZ)
MSGF(000609.SZ)
NMFZ(000611.SZ)
JZMF(000612.SZ)
DDHA(000613.SZ)
YCTZ(000616.SZ)
DYJC(000617.SZ)
HLXC(000619.SZ)
XHL(000620.SZ)
HLSY(000622.SZ)
JLAD(000623.SZ)
CAQC(000625.SZ)
RYJT(000626.SZ)
GXFZ(000628.SZ)
PGFT(000629.SZ)
TLYS(000630.SZ)
SFHY(000631.SZ)
SMJT(000632.SZ)
YLT(000635.SZ)
FHGK(000636.SZ)
MFFZ(000638.SZ)
XWSP(000639.SZ)
RHYY(000650.SZ)
GLDQ(000651.SZ)
TDGF(000652.SZ)
JKGF(000656.SZ)
ZWGX(000657.SZ)
*STZF(000659.SZ)
CCGX(000661.SZ)
HBAD(000665.SZ)
JWFJ(000666.SZ)
MHJT(000667.SZ)
RFKG(000668.SZ)
JHNY(000669.SZ)
YGC(000671.SZ)
SFSN(000672.SZ)
DDDF(000673.SZ)
SDGK(000676.SZ)
HTHL(000677.SZ)
XYZC(000678.SZ)
DLYY(000679.SZ)
STGF(000680.SZ)
SJZG(000681.SZ)
DFDZ(000682.SZ)
YXNY(000683.SZ)
ZSGY(000685.SZ)
DBZQ(000686.SZ)
JXKY(000688.SZ)
BXNY(000690.SZ)
YTSY(000691.SZ)
HTRD(000692.SZ)
HZGN(000693.SZ)
BHNY(000695.SZ)
LDYS(000697.SZ)
MSKJ(000700.SZ)
SMXD(000701.SZ)
ZHKJ(000702.SZ)
HYDH(000703.SZ)
ZJZY(000705.SZ)
SHKJ(000707.SZ)
DYTG(000708.SZ)
HBGT(000709.SZ)
TLZY(000711.SZ)
JLGF(000712.SZ)
NFSP(000716.SZ)
*STSG(000717.SZ)
SNHQ(000718.SZ)
DDCM(000719.SZ)
XNTS(000720.SZ)
XAYS(000721.SZ)
HNFZ(000722.SZ)
MJNY(000723.SZ)
JDFA(000725.SZ)
LTA(000726.SZ)
HDKJ(000727.SZ)
GYZQ(000728.SZ)
YJPJ(000729.SZ)
SCMF(000731.SZ)
THJT(000732.SZ)
ZHKJ(000733.SZ)
LNS(000735.SZ)
ZFDC(000736.SZ)
NFHG(000737.SZ)
ZHDK(000738.SZ)
PLYY(000739.SZ)
CCXX(000748.SZ)
GHZQ(000750.SZ)
XYGF(000751.SZ)
XCFZ(000752.SZ)
ZZFZ(000753.SZ)
*STSW(000755.SZ)
XHZY(000756.SZ)
HWGF(000757.SZ)
ZSGF(000758.SZ)
ZBJT(000759.SZ)
STE(000760.SZ)
BGBC(000761.SZ)
XCKY(000762.SZ)
THJM(000766.SZ)
ZZDL(000767.SZ)
ZHFJ(000768.SZ)
AFZQ(000776.SZ)
ZHKJ(000777.SZ)
XXZG(000778.SZ)
*STPS(000779.SZ)
PZNY(000780.SZ)
MDGF(000782.SZ)
CJZQ(000783.SZ)
WHZS(000785.SZ)
BXJC(000786.SZ)
BDYY(000788.SZ)
JXSN(000789.SZ)
HSJT(000790.SZ)
GSDT(000791.SZ)
YHGF(000792.SZ)
HWCM(000793.SZ)
YSGF(000796.SZ)
ZGWY(000797.SZ)
JGJ(000799.SZ)
YQJC(000800.SZ)
SCJZ(000801.SZ)
BJWH(000802.SZ)
JYCC(000803.SZ)
YHTZ(000806.SZ)
TLXC(000809.SZ)
HRJH(000810.SZ)
SXJX(000812.SZ)
TSFZ(000813.SZ)
MLZY(000815.SZ)
JHDL(000816.SZ)
FDHG(000818.SZ)
YYXC(000819.SZ)
JCGF(000820.SZ)
JSQJ(000821.SZ)
*STHH(000822.SZ)
CSDZ(000823.SZ)
TGBX(000825.SZ)
SDHJ(000826.SZ)
DGKG(000828.SZ)
TYKG(000829.SZ)
LXHG(000830.SZ)
GTGF(000833.SZ)
XMKJ(000836.SZ)
GXDC(000838.SZ)
ZXGA(000839.SZ)
CDLL(000848.SZ)
HMGF(000850.SZ)
GHGF(000851.SZ)
JZGF(000852.SZ)
JDZB(000856.SZ)
WLY(000858.SZ)
GFSY(000859.SZ)
SXNY(000860.SZ)
HYGF(000861.SZ)
YXNY(000862.SZ)
AKKC(000868.SZ)
ZYA(000869.SZ)
JDGF(000875.SZ)
XXW(000876.SZ)
TSGF(000877.SZ)
YNTY(000878.SZ)
WCCJ(000880.SZ)
DLGJ(000881.SZ)
HLGF(000882.SZ)
HBNY(000883.SZ)
TLSN(000885.SZ)
HNGS(000886.SZ)
ZDGF(000887.SZ)
EMSA(000888.SZ)
MYWL(000889.SZ)
FES(000890.SZ)
DLLY(000893.SZ)
SHFZ(000895.SZ)
JBFZ(000897.SZ)
AGGF(000898.SZ)
GNGF(000899.SZ)
HTKJ(000901.SZ)
XXF(000902.SZ)
YNDL(000903.SZ)
SMGW(000905.SZ)
TYKJ(000908.SZ)
SYKJ(000909.SZ)
DYKJ(000910.SZ)
NNTY(000911.SZ)
QJMT(000913.SZ)
SDHT(000915.SZ)
HBGS(000916.SZ)
DACM(000917.SZ)
JKC(000918.SZ)
JLYY(000919.SZ)
NFHT(000920.SZ)
HXKL(000921.SZ)
JDGF(000922.SZ)
HBXG(000923.SZ)
ZGJD(000925.SZ)
FXGF(000926.SZ)
YQXL(000927.SZ)
ZGGJ(000928.SZ)
LZHH(000929.SZ)
ZLSH(000930.SZ)
ZGC(000931.SZ)
HLGT(000932.SZ)
SHGF(000933.SZ)
SCSM(000935.SZ)
HXGF(000936.SZ)
JZNY(000937.SZ)
ZGGF(000938.SZ)
JFHG(000950.SZ)
ZGCQ(000951.SZ)
HCHG(000953.SZ)
XLKG(000955.SZ)
ZTKC(000957.SZ)
DFNY(000958.SZ)
SGGF(000959.SZ)
XYGF(000960.SZ)
ZNJS(000961.SZ)
DFTY(000962.SZ)
HDYY(000963.SZ)
TBJJ(000965.SZ)
CYDL(000966.SZ)
SFGK(000967.SZ)
MQH(000968.SZ)
ATKJ(000969.SZ)
ZKSH(000970.SZ)
LDKG(000971.SZ)
XZJ(000972.SZ)
YTZY(000975.SZ)
LCXX(000977.SZ)
GLLY(000978.SZ)
ZHGF(000979.SZ)
JMGF(000980.SZ)
YYGF(000981.SZ)
ZYRY(000982.SZ)
XSMD(000983.SZ)
DQHK(000985.SZ)
HGKJ(000988.SZ)
CZGF(000990.SZ)
MDDL(000993.SZ)
HTJY(000995.SZ)
ZGZJ(000996.SZ)
XDL(000997.SZ)
LPGK(000998.SZ)
HRSJ(000999.SZ)
ZSDL(001696.SZ)
XHC(002001.SZ)
HDXY(002002.SZ)
WXGF(002003.SZ)
HBYT(002004.SZ)
